날짜,종목명,시가총액,외국인 보유수량,공매도 거래 수량
2023/07/19,삼성전자,"428,033,408,835,000","3,163,380,264","325,361"
2023/07/20,삼성전자,"423,854,561,050,000","3,163,456,948","212,026"
2023/07/21,삼성전자,"419,675,713,265,000","3,164,847,957","690,377"
2023/07/24,삼성전자,"420,272,691,520,000","3,161,284,337","187,872"
2023/07/25,삼성전자,"417,884,778,500,000","3,164,288,196","249,469"
2023/07/26,삼성전자,"416,690,821,990,000","3,165,243,552","691,439"
2023/07/27,삼성전자,"428,033,408,835,000","3,163,909,245","538,992"
2023/07/28,삼성전자,"421,466,648,030,000","3,165,427,951","338,269"
2023/07/31,삼성전자,"416,690,821,990,000","3,165,226,457","582,272"
2023/08/01,삼성전자,"424,451,539,305,000","3,164,361,498","382,243"
2023/08/02,삼성전자,"417,287,800,245,000","3,166,037,159","265,816"
2023/08/03,삼성전자,"410,721,039,440,000","3,165,837,444","360,798"
2023/08/04,삼성전자,"407,736,148,165,000","3,165,132,856","264,542"
2023/08/07,삼성전자,"408,930,104,675,000","3,163,669,032","315,548"
2023/08/08,삼성전자,"403,557,300,380,000","3,165,245,218","458,821"
2023/08/09,삼성전자,"411,318,017,695,000","3,166,103,260","738,805"
2023/08/10,삼성전자,"405,945,213,400,000","3,169,557,395","295,345"
2023/08/11,삼성전자,"402,960,322,125,000","3,168,627,960","278,521"
2023/08/14,삼성전자,"401,766,365,615,000","3,166,844,310","359,571"
2023/08/16,삼성전자,"399,975,430,850,000","3,167,324,608","905,219"
2023/08/17,삼성전자,"398,184,496,085,000","3,167,759,282","835,053"
2023/08/18,삼성전자,"395,796,583,065,000","3,167,166,350","456,362"
2023/08/21,삼성전자,"397,587,517,830,000","3,167,530,091","605,716"
2023/08/22,삼성전자,"397,587,517,830,000","3,167,660,963","953,013"
2023/08/23,삼성전자,"400,572,409,105,000","3,167,284,911","564,755"
2023/08/24,삼성전자,"407,139,169,910,000","3,167,961,170","809,537"
2023/08/25,삼성전자,"400,572,409,105,000","3,168,748,973","407,387"
2023/08/28,삼성전자,"398,781,474,340,000","3,168,891,939","232,121"
