stock_name,issue_date,error_type
이연제약,2010-06-10,not_code
앱코,2020-12-02,not_code
동구바이오제약,2018-02-13,not_code
아모센스,2021-06-25,not_code
SK디스커버리,1976-06-29,not_code
한전기술,2009-12-14,not_code
상신전자,2017-10-16,not_code
마음AI,2021-11-23,not_code
HANARO Fn K-게임,2021-07-30,not_code
모아데이타,2022-03-10,not_code
KODEX KRX기후변화솔루션,2021-10-29,not_code
한양증권,1988-03-04,not_code
동국S&C,2009-08-31,not_code
디에스케이,2009-09-23,not_code
인터엠,1996-01-03,not_code
더네이쳐홀딩스,2020-07-27,not_code
서플러스글로벌,2017-01-25,not_code
태광산업,1975-12-27,not_code
오공,2000-08-10,not_code
한국전자인증,2010-11-19,not_code
KX하이텍,2005-01-18,not_code
코아스템켐온,2015-06-26,not_code
코스맥스엔비티,2015-12-16,not_code
슈펙스비앤피,2002-02-05,not_code
유안타증권,1988-01-21,not_code
오리온,2017-07-07,not_code
이엠앤아이,2008-09-18,not_code
롯데관광개발,2006-06-08,not_code
에넥스,1995-07-08,not_code
광동제약,1989-11-17,not_code
한국큐빅,2003-01-24,not_code
삼일제약,1985-05-29,not_code
PLUS 글로벌HBM반도체,2022-09-22,not_code
세아제강지주,1969-05-13,not_code
두산밥캣,2016-11-18,not_code
금화피에스시,2000-12-26,not_code
경남제약,2001-11-06,not_code
위드텍,2020-10-30,not_code
하이스틸,2003-02-17,not_code
SK이터닉스,2024-03-29,not_code
일양약품,1974-08-28,not_code
오리엔트바이오,1976-12-28,not_code
고바이오랩,2020-11-18,not_code
퍼스텍,1989-05-10,not_code
에이치피오,2021-05-14,not_code
대원전선,1988-05-04,not_code
유틸렉스,2018-12-24,not_code
한국내화,2000-10-16,not_code
씨앤지하이테크,2018-01-25,not_code
TIGER 은행고배당플러스TOP10,2023-10-17,not_code
GS건설,1981-08-03,not_code
SNK,2019-05-07,not_code
PLUS ESG성장주액티브,2021-07-30,not_code
한진중공업홀딩스,1956-03-03,not_code
에코프로에이치엔,2021-05-28,not_code
잉글우드랩,2016-10-14,not_code
토니모리,2015-07-10,not_code
유비벨록스,2010-06-18,not_code
네오셈,2018-04-04,not_code
비엠티,2007-11-02,not_code
박셀바이오,2020-09-22,not_code
삼륭물산,1992-12-29,not_code
KCC글라스,2020-01-21,not_code
바이오솔루션,2018-08-20,not_code
한국알콜,1992-08-04,not_code
삼성SDI,1979-02-27,not_code
RISE 25-11 회사채(AA-이상)액티브,2022-11-22,not_code
뉴보텍,2002-02-05,not_code
센서뷰,2023-07-19,not_code
한일홀딩스,1969-11-20,not_code
파인엠텍,2022-10-07,not_code
FSN,2015-03-25,not_code
ACE Fn5G플러스,2021-04-02,not_code
DGB금융지주,2011-06-07,not_code
아스플로,2021-10-07,not_code
TIGER 2차전지소재Fn,2023-07-13,not_code
유니온커뮤니티,2016-12-07,not_code
대륙제관,1994-12-29,not_code
원티드랩,2021-08-11,not_code
신한지주,2001-09-10,not_code
GH신소재,2013-08-02,not_code
NH올원리츠,2021-11-18,not_code
퀀텀온,2018-11-15,not_code
서산,2005-01-21,not_code
FOCUS 혁신기업액티브,2021-09-30,not_code
넥센타이어,1976-05-19,not_code
PLUS 미국대체투자Top10,2022-05-11,not_code
대유에이텍,1977-02-18,not_code
오픈놀,2023-06-30,not_code
압타머사이언스,2020-09-16,not_code
알피바이오,2022-09-29,not_code
케이피엠테크,2003-01-07,not_code
휴림로봇,2006-12-05,not_code
인피니트헬스케어,2010-05-26,not_code
TIGER 글로벌BBIG액티브,2021-05-25,not_code
아시아종묘,2018-02-12,not_code
SH에너지화학,1985-12-23,not_code
TIGER 미국나스닥100TR채권혼합Fn,2022-07-06,not_code
아이엠티,2023-10-10,not_code
KODEX 미국반도체MV,2021-06-30,not_code
KODEX 차이나항셍테크,2020-12-16,not_code
SPC삼립,1975-05-02,not_code
육일씨엔에쓰,2015-12-24,not_code
ACE 24-12 회사채(AA-이상)액티브,2022-11-22,not_code
톱텍,2009-09-15,not_code
두산로보틱스,2023-10-05,not_code
씨티알모빌리티,2019-11-25,not_code
엠에스오토텍,2010-08-06,not_code
원익머트리얼즈,2011-12-28,not_code
일진전기,2008-08-01,not_code
자화전자,1999-01-06,not_code
일진디스플,2002-01-09,not_code
인콘,2005-12-27,not_code
까뮤이앤씨,1989-11-30,not_code
삼현,2024-03-21,not_code
SK스퀘어,2021-11-29,not_code
SGC E&C,1999-12-28,not_code
TIGER KEDI혁신기업ESG30,2022-02-08,not_code
SK아이이테크놀로지,2021-05-11,not_code
미스터블루,2014-12-12,not_code
KODEX 미국배당프리미엄액티브,2022-09-27,not_code
롯데지주,1974-02-16,not_code
CJ CGV,2004-12-24,not_code
신풍,1976-06-30,not_code
라온피플,2019-10-18,not_code
풀무원,1995-10-05,not_code
레몬,2020-02-28,not_code
TPC,2001-01-16,not_code
율촌,2023-09-08,not_code
덕산테코피아,2019-08-02,not_code
하이비젼시스템,2010-09-10,not_code
아시아나IDT,2018-11-23,not_code
태웅,2001-11-08,not_code
아난티,1996-01-06,not_code
한국유니온제약,2018-07-26,not_code
서연이화,2014-08-08,not_code
샘표식품,2016-08-09,not_code
래몽래인,2021-12-30,not_code
인선이엔티,2002-06-14,not_code
제노코,2021-03-24,not_code
넥스틴,2020-10-08,not_code
카스,1990-01-04,not_code
제이에스티나,1999-12-21,not_code
동양이엔피,2005-02-01,not_code
에스트래픽,2017-12-05,not_code
KH 미래물산,2010-11-05,not_code
BNK금융지주,2011-03-30,not_code
태림포장,1988-12-20,not_code
제주항공,2015-11-06,not_code
우양,2019-11-20,not_code
듀오백,2004-02-06,not_code
ACE 미국500 15%프리미엄분배(합성),2024-04-23,not_code
핸즈코퍼레이션,2016-12-02,not_code
엠케이전자,1997-11-10,not_code
한창제지,1987-12-23,not_code
KoAct 배당성장액티브,2024-02-27,not_code
태원물산,1975-06-24,not_code
에코아이,2023-11-21,not_code
시큐브,2011-12-21,not_code
에이에프더블류,2019-07-01,not_code
위니아,2016-07-14,not_code
KBG,2019-08-01,not_code
진영,2023-06-01,not_code
파이오링크,2013-08-01,not_code
SGC에너지,1993-01-06,not_code
이큐셀,2015-06-26,not_code
드림시큐리티,2014-10-13,not_code
HLB생명과학,2008-11-25,not_code
이수앱지스,2009-02-03,not_code
도화엔지니어링,2010-08-12,not_code
프로텍,2001-08-17,not_code
SK케미칼,2018-01-05,not_code
한화오션,2001-02-02,not_code
KODEX 미국서학개미,2023-12-27,not_code
테고사이언스,2014-11-06,not_code
테라사이언스,2004-01-06,not_code
아나패스,2010-11-05,not_code
HLB테라퓨틱스,2010-03-26,not_code
인터파크,2014-02-06,not_code
HANARO 미국S&P500,2022-06-08,not_code
휴온스,2016-06-03,not_code
